image,tag,score
0,mushroom,1.737392449285835e-05
0,mosque,1.7322734493063763e-05
0,bulletproof vest,1.71880928974133e-05
0,fountain,1.7185879187309183e-05
0,"garbage truck, dustcart",1.7171363651868887e-05
0,"iron, smoothing iron",1.7113081412389874e-05
0,"sulphur butterfly, sulfur butterfly",1.7078469682019204e-05
0,"Polaroid camera, Polaroid Land camera",1.70409675774863e-05
0,carbonara,1.700844950391911e-05
0,"Angora, Angora rabbit",1.700640314084012e-05
0,dumbbell,1.694737329671625e-05
0,wine bottle,1.685794268269092e-05
0,gyromitra,1.6757297998992726e-05
0,"ant, emmet, pismire",1.675461135164369e-05
0,"meat loaf, meatloaf",1.6712976503185928e-05
0,"prairie chicken, prairie grouse, prairie fowl",1.669456105446443e-05
0,mortar,1.668711229285691e-05
0,trilobite,1.6569050785619766e-05
0,stethoscope,1.6550951841054484e-05
0,jacamar,1.6542842786293477e-05
0,pelican,1.6417157894466072e-05
0,boxer,1.6395422790083103e-05
0,honeycomb,1.6325555407092907e-05
0,Petri dish,1.6249599866569042e-05
0,"white wolf, Arctic wolf, Canis lupus tundrarum",1.6197938748518936e-05
0,"lawn mower, mower",1.606612204341218e-05
0,"sea cucumber, holothurian",1.602002521394752e-05
0,Irish water spaniel,1.6019719623727724e-05
0,"chain saw, chainsaw",1.6012814739951864e-05
0,rugby ball,1.59154678840423e-05
0,"robin, American robin, Turdus migratorius",1.591215914231725e-05
0,"African elephant, Loxodonta africana",1.5877190890023485e-05
0,cuirass,1.584707024449017e-05
0,"Arctic fox, white fox, Alopex lagopus",1.5811852790648118e-05
0,"warplane, military plane",1.5744470147183165e-05
0,"pay-phone, pay-station",1.5715009794803336e-05
0,speedboat,1.5704221368650906e-05
0,"sidewinder, horned rattlesnake, Crotalus cerastes",1.5701496522524394e-05
0,"upright, upright piano",1.5699100913479924e-05
0,lionfish,1.564899503136985e-05
0,"Tibetan terrier, chrysanthemum dog",1.5602694475091994e-05
0,"rocking chair, rocker",1.5585919754812494e-05
0,agaric,1.5560686733806506e-05
0,trombone,1.555810376885347e-05
0,screw,1.5507383068324998e-05
0,"common newt, Triturus vulgaris",1.5337582226493396e-05
0,coral reef,1.5305597116821446e-05
0,rain barrel,1.5294332115445286e-05
0,pier,1.5285801055142656e-05
0,"tub, vat",1.52756147144828e-05
0,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1.5231755241984501e-05
0,Yorkshire terrier,1.5009058188297786e-05
0,"ringlet, ringlet butterfly",1.498135861766059e-05
0,chainlink fence,1.4800861208641436e-05
0,"balance beam, beam",1.4792719412071165e-05
0,agama,1.4743299288966227e-05
0,"whiptail, whiptail lizard",1.4720033505000174e-05
0,"cheetah, chetah, Acinonyx jubatus",1.4691424439661205e-05
0,"candle, taper, wax light",1.4559047485818155e-05
0,"frying pan, frypan, skillet",1.4544088116963394e-05
0,"Walker hound, Walker foxhound",1.4534602996718604e-05
0,"pencil box, pencil case",1.4453010408033151e-05
0,Gordon setter,1.4350714991451241e-05
0,minivan,1.434837486158358e-05
0,French loaf,1.4310260667116381e-05
0,"accordion, piano accordion, squeeze box",1.4293348613136914e-05
0,briard,1.4287147678260226e-05
0,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",1.4111583368503489e-05
0,"cockroach, roach",1.409982633049367e-05
0,goose,1.4051421203475911e-05
0,castle,1.4049464880372398e-05
0,cocktail shaker,1.4025862583366688e-05
0,terrapin,1.4012666724738665e-05
0,"crayfish, crawfish, crawdad, crawdaddy",1.397066080244258e-05
0,barber chair,1.3923005099059083e-05
0,viaduct,1.39005960591021e-05
0,vase,1.3857724297849927e-05
0,scuba diver,1.3736108485318255e-05
0,monastery,1.3720253264182247e-05
0,"ruffed grouse, partridge, Bonasa umbellus",1.3684018085768912e-05
0,maypole,1.3430098988465033e-05
0,mink,1.342451560049085e-05
0,"can opener, tin opener",1.3411297004495282e-05
0,"worm fence, snake fence, snake-rail fence, Virginia fence",1.3353127542359289e-05
0,baboon,1.3323208804649767e-05
0,"tricycle, trike, velocipede",1.331711155216908e-05
0,Bedlington terrier,1.3284701708471403e-05
0,birdhouse,1.327055724686943e-05
0,zebra,1.3211750228947494e-05
0,"chiton, coat-of-mail shell, sea cradle, polyplacophore",1.321074250881793e-05
0,"odometer, hodometer, mileometer, milometer",1.3191001926315948e-05
0,"garden spider, Aranea diademata",1.3148939615348354e-05
